"Name","CinemaContextId","CinemaContextLink","OpeningYear","ClosingYear","Address","Locatiepunt1","Locatiepunt2","Locatiepunt3","Locatiepunt4","Locatiepunt5","CityNeighborhood1850","TopCountry1","TopCountry2","TopCountry3","TopGenre1","TopGenre2","TopGenre3"
"Roode Bioscoop","Bios87","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=19;tpl=details.tpl",1913,1913,"Haarlemmerplein 7",900027,,,,,"UU"," "," "," ",,,
"Ons Genoegen","Bios1489","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?sort=naam%20oplopend;sid=46eec382e20c7b7fa0d185d9934c82c4;lang=nl;c=cccbioscoop;rgn1=Stad;type=boolean;q1=amsterdam;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=93;tpl=details.tpl",1914,1918,"Haarlemmerplein 7",900027,,,,,"UU"," "," "," ",,,
"Haarlemmerpoort","Bios58","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?sort=naam%20oplopend;sid=46eec382e20c7b7fa0d185d9934c82c4;lang=nl;c=cccbioscoop;rgn1=Stad;type=boolean;q1=amsterdam;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=65;tpl=details.tpl",1912,1914,"Haarlemmerplein 33",900028,,,,,"UU"," "," "," ",,,
"Thalia (A)","Bios59","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?sort=naam%20oplopend;sid=46eec382e20c7b7fa0d185d9934c82c4;lang=nl;c=cccbioscoop;rgn1=Stad;type=boolean;q1=amsterdam;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=127;tpl=details.tpl",1914,1915,"Haarlemmerplein 33",900028,,,,,"UU"," "," "," ",,,
"Edison (Haarlemmerstraat)","Bios1430","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?sort=naam%20oplopend;sid=46eec382e20c7b7fa0d185d9934c82c4;lang=nl;c=cccbioscoop;rgn1=Stad;type=boolean;q1=amsterdam;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=57;tpl=details.tpl",1912,1913,"Haarlemmerstraat 12a",900029,,,,,"TT"," "," "," ",,,
"Scala","Bios90","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=20;tpl=details.tpl",1912,1936,"Haarlemmerstraat 31-39",900030,900031,900032,900033,900034,"TT","USA",,,"Drama","Comedy","Romance"
"Huize Nieuw Vondel",,,1912,1913,"Haarlemmerweg 201",900035,,,,,"ONA"," "," "," ",,,
"Union","Bios1292","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=21;tpl=details.tpl",1911,1930,"Heiligeweg 34-36",900036,900037,,,,"D","D","USA",,"Drama","Short","Comedy"
"Rembrandt Bioscope","Bios107","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=22;tpl=details.tpl",1911,1927,"Jodenbreestraat 23",900038,,,,,"Q","F",,,"Short","Drama","Comedy"
"Tip-Top Theater","Bios94","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=23;tpl=details.tpl",1914,1942,"Jodenbreestraat 25-27",900039,900040,,,,"Q","USA",,,"Drama","Short","Romance"
"Pathé","Bios105","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=25;tpl=details.tpl",1911,1923,"Kalverstraat 122",900041,,,,,"E","F","USA",,"Short","Drama","Comedy"
"Corso","Bios14","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=24;tpl=details.tpl",1925,1979,"Kalverstraat 122",900041,,,,,"E","USA","D","F","Drama","Comedy","Romance"
"Cinema Palace","Bios78","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=26;tpl=details.tpl",1912,1927,"Kalverstraat 224",900042,,,,,"D","USA","D","F","Drama","Short","Comedy"
"Roxy","Bios32","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=27;tpl=details.tpl",1927,1982,"Kalverstraat 224",900042,,,,,"D","USA",,,"Drama","Comedy","Romance"
"Cinema de la Monnaie","Bios67","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=28;tpl=details.tpl",1912,1914,"Kalverstraat 226",900043,,,,,"D","D","F",,"Short","Drama",
"De Munt","Bios69","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=29;tpl=details.tpl",1914,1949,"Kalverstraat 226",900043,,,,,"D","USA","DK","D","Comedy","Drama","Short"
"Bioscoop onbekend (Kerkstraat)",,,1913,"?","Kerkstraat 311",900044,,,,,"AA"," "," "," ",,,
"Van Lennep Bioscoop","Bios1435","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?sort=naam%20oplopend;sid=46eec382e20c7b7fa0d185d9934c82c4;lang=nl;c=cccbioscoop;rgn1=Stad;type=boolean;q1=amsterdam;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=136;tpl=details.tpl",1911,1914,"Kinkerstraat 309-311",900045,900046,,,,"ONA"," "," "," ",,,
"Opera Bioscoop","id1187961919945","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=30;tpl=details.tpl",1910,1913,"Leidsekade 90",900047,,,,,"JJ","I","F",,"Short",,
"Nassau","Bios79","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=46eec382e20c7b7fa0d185d9934c82c4;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=31;tpl=details.tpl",1913,1929,"Lijnbaansgracht 31-32",900048,900049,,,,"QQ"," "," "," ",,,
"National Theater","Bios80","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=46eec382e20c7b7fa0d185d9934c82c4;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=32;tpl=details.tpl",1922,1965,"Linnaeusstraat 20",900050,,,,,"ZZ","D","F",,"Drama","Comedy","Short"
"Koninklijk Instituut voor de Tropen",,"http://www.cinemacontext.nl/cgi/b/bib/bib-idx?sort=naam%20oplopend;sid=46eec382e20c7b7fa0d185d9934c82c4;lang=nl;c=cccbioscoop;rgn1=Stad;type=boolean;q1=amsterdam;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=75;tpl=details.tpl#target4",1926,"Present","Mauritskade 63",900051,,,,,"ZZ"," "," "," ",,,
"Keur Bioscoop (Nieuwe Achtergracht)","Bios1432","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=46eec382e20c7b7fa0d185d9934c82c4;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=33;tpl=details.tpl",1912,1912,"Nieuwe Achtergracht 140-144",900052,900053,900054,,,"W","USA",,,,,
"Plantage Bioscoop (Nieuwe Herengracht)","Bios106","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=46eec382e20c7b7fa0d185d9934c82c4;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=35;tpl=details.tpl",1912,1915,"Nieuwe Herengracht 117",900055,,,,,"V","F",,,"Drama",,
"Hollandia (Nieuwe Herengracht)","Bios61","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=46eec382e20c7b7fa0d185d9934c82c4;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=34;tpl=details.tpl",1915,1949,"Nieuwe Herengracht 117",900055,,,,,"V","USA",,,,,
"Familie Bioscoop","Bios55","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?sort=naam%20oplopend;sid=46eec382e20c7b7fa0d185d9934c82c4;lang=nl;c=cccbioscoop;rgn1=Stad;type=boolean;q1=amsterdam;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=59;tpl=details.tpl",1911,1916,"Nieuwendijk 11",900056,,,,,"L"," "," "," ",,,
"Juliana","Bios62","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=46eec382e20c7b7fa0d185d9934c82c4;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=41;tpl=details.tpl",1912,1918,"Nieuwendijk 29",900057,,,,,"L","F",,,"Short","Drama","Comedy"
"Thalia (B)","Bios93","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?sort=naam%20oplopend;sid=46eec382e20c7b7fa0d185d9934c82c4;lang=nl;c=cccbioscoop;rgn1=Stad;type=boolean;q1=amsterdam;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=128;tpl=details.tpl",1918,1922,"Nieuwendijk 29",900057,,,,,"L"," "," "," ",,,
"Centraal (Nieuwendijk)","Bios48","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?sort=naam%20oplopend;sid=46eec382e20c7b7fa0d185d9934c82c4;lang=nl;c=cccbioscoop;rgn1=Stad;type=boolean;q1=amsterdam;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=27;tpl=details.tpl",1912,1987,"Nieuwendijk 67",2543,,,,,"L"," "," "," ",,,
